title,exp_years,city,level,category,year
Application Development Team Leader,5,Smart Village,Manager,Software Engneering,2021
Junior Java Developer,2,Mokattam,Experienced,Software Engneering,2021
iOS Developer -Giza,1,Mohandessin,Entry Level,Software Engneering,2021
Senior Software Sales Specialist,3,Dokki,Experienced,Software Engneering,2021
Senior Front End Developer - Angular,2,Cairo,Experienced,Software Engneering,2021
Scrum Master / Software Project Manager,5,New Nozha,Experienced,Software Engneering,2021
Middle Front End Developer,3,Cairo,Experienced,Software Engneering,2021
Product Owner - IT,3,Nasr City,Experienced,IT Category,2021
Experienced .NET Developer,2,Dokki,Experienced,Software Engneering,2021
PHP Developer - Senior & Mid-Level,3,Alexandria,Experienced,Software Engneering,2021
Frontend Developer,2,New Cairo,Experienced,Software Engneering,2021
PHP Developer,3,Alexandria,Experienced,Software Engneering,2021
Senior Software Quality Control Engineer,2,Attarin,Experienced,Software Engneering,2021
Senior .Net Developer,2,Cairo,Experienced,Software Engneering,2021
Senior .Net Developer,4,Sheraton,Experienced,Software Engneering,2021
PHP Laravel - Full Stack Developer,3,Nasr City,Experienced,Software Engneering,2021
Senior Backend Developer Spring Boot,4,Cairo,Experienced,Software Engneering,2021
Senior Java Spring Developer,2,Rehab City,Experienced,Software Engneering,2021
