title,company_name,location,exp_years,city,level,time,category,year
Javascript Back-End Developer - Dokki,BAWQ TELECOMM,"Dokki, Giza",2,Dokki,Experienced,Full Time,Software Engneering,2020
Java Developer,Centione,"Nasr City, Cairo",1,Nasr City,Entry Level,Full Time,Software Engneering,2020
Senior Full Stack Developer,Electrified,"Nasr City, Cairo",5,Nasr City,Experienced,Full Time,Software Engneering,2020
Senior iOS Developer - Cairo,Glamera,"Nasr City, Cairo",3,Nasr City,Experienced,Full Time,Software Engneering,2020
Senior Flutter Developer,Autoly Inc.,"Cairo, Egypt",2,Cairo,Experienced,Full Time,Software Engneering,2020
Senior React Native Developer,Rasan,"Nasr City, Cairo",3,Nasr City,Experienced,Full Time,Software Engneering,2020
Mobile Application Developer (Ionic/Angular) -...,Lead Liaison,"San Stefano, Alexandria",1,San Stefano,Entry Level,Full Time,Software Engneering,2020
Odoo Front End Developer,Unknown,"Mohandessin, Giza",1,Mohandessin,Entry Level,Full Time,Software Engneering,2020
Odoo Back End Developer,Peerless,"Mohandessin, Giza",2,Mohandessin,Experienced,Full Time,Software Engneering,2020
Senior .Net Developer,FRIDAL,"6th Of October, Giza",5,6th Of October,Experienced,Full Time,Software Engneering,2020
Senior Full-Stack Developer (PHP/Laravel/Vue.js),BeSteam,"Nasr City, Cairo",3,Nasr City,Experienced,Full Time,Software Engneering,2020
Senior PHP Developer,UnitLabs,"Mohandessin, Giza",5,Mohandessin,Experienced,Full Time,Software Engneering,2020
iOS Developer - Internship,ElMnassa Innovation & Development,"New Cairo, Cairo",0,New Cairo,Entry Level,Internship,Software Engneering,2020
Senior Android Developer,ITS,"Nasr City, Cairo",3,Nasr City,Experienced,Full Time,Software Engneering,2020
Business Development Manager,INMA Construction,"New Cairo, Cairo",5,New Cairo,Manager,Full Time,Software Engneering,2020
PHP Laravel - Full Stack Developer,Unknown,"New Cairo, Cairo",2,New Cairo,Experienced,Full Time,Software Engneering,2020
Flutter Developer - Intern,Magdsoft,"Nasr City, Cairo",0,Nasr City,Entry Level,Internship,Software Engneering,2020
Senior Software Quality Control Engineer,AlQemam For Programming,"Mansoura, Dakahlia",3,Mansoura,Experienced,Full Time,Software Engneering,2020
Front End Developer,Pefect Presentation,"Maadi, Cairo",10,Maadi,Experienced,Full Time,Software Engneering,2020
iOS Developer - Full Time,ElMnassa Innovation & Development,"New Cairo, Cairo",2,New Cairo,Experienced,Full Time,Software Engneering,2020
Flutter Developer,Arabia for Information Technology,"Cairo, Egypt",3,Cairo,Experienced,Full Time,Software Engneering,2020
Senior Android Developer - Heliopolis,Al Amin Technological Systems,"Heliopolis, Cairo",3,Heliopolis,Experienced,Full Time,Software Engneering,2020
Cross Platform Mobile Developer,Master Linux,"Heliopolis, Cairo",3,Heliopolis,Experienced,Full Time,Software Engneering,2020
iOS Application Developer - Remotely work,Unknown,"Cairo, Egypt",3,Cairo,Experienced,Full Time And Part Time,Software Engneering,2020
iOS Developer - Internship,ElMnassa Innovation & Development,"New Cairo, Cairo",0,New Cairo,Entry Level,Internship,Software Engneering,2020
Senior Integration .NET Developer,NAOS Marketing,"Nasr City, Cairo",8,Nasr City,Experienced,Full Time,Software Engneering,2020
Sales Software Account Manager,Business Supply Hub,"Cairo, Egypt",0,Cairo,Entry Level,Full Time,Software Engneering,2020
Mobile Developer,Upper Medic,"Cairo, Egypt",2,Cairo,Experienced,Full Time And Part Time,Software Engneering,2020
WordPress Developer,Awdia Technology,"New Cairo, Cairo",2,New Cairo,Experienced,Full Time,Software Engneering,2020
Junior Web Developer,El-Amir Group,"Ain Shams, Cairo",2,Ain Shams,Experienced,Full Time,Software Engneering,2020
Software Sales Specialist,Online,"Nasr City, Cairo",3,Nasr City,Experienced,Full Time,Software Engneering,2020
Senior Developer ( Cairo ),Talent 360,"Cairo, Egypt",5,Cairo,Experienced,Full Time,Software Engneering,2020
Junior/Mid-Level iOS Developer,DEVOPSolution,"Nasr City, Cairo",2,Nasr City,Experienced,Full Time,Software Engneering,2020
Senior Flutter Developer,ITGeeks,"Mansoura, Dakahlia",2,Mansoura,Experienced,Full Time,Software Engneering,2020
Odoo Developer - Cairo,IPC,"New Cairo, Cairo",2,New Cairo,Experienced,Full Time,Software Engneering,2020
Junior iOS Developer,Unknown,"Maadi, Cairo",1,Maadi,Entry Level,Full Time,Software Engneering,2020
ASP.Net Senior Developer,RMG,"New Cairo, Cairo",6,New Cairo,Experienced,Full Time,Software Engneering,2020
Front End Developer (Angular),iHorizons,"Maadi, Cairo",3,Maadi,Experienced,Full Time,Software Engneering,2020
Senior Back End Developer,Creative Motion,"Maadi, Cairo",3,Maadi,Experienced,Full Time,Software Engneering,2020
Microsoft .NET Developer,EL Mohandess Press,"10th Of Ramadan City, Sharqia",4,10th Of Ramadan City,Experienced,Full Time,Software Engneering,2020
E-content Developer,eelu,"Giza, Egypt",2,Giza,Experienced,Full Time,Software Engneering,2020
Senior Drupal Developer,Ark Development,"Heliopolis, Cairo",5,Heliopolis,Experienced,Full Time,Software Engneering,2020
Senior ASP.Net Developer,Microtech,"Dokki, Giza",5,Dokki,Experienced,Full Time,Software Engneering,2020
Senior Full Stack Developer,Cashcall,"Maadi, Cairo",3,Maadi,Experienced,Full Time,Software Engneering,2020
Full Stack Developer,OctopusPro Pty Ltd,"Cairo, Egypt",3,Cairo,Experienced,Full Time,Software Engneering,2020
Web Development Manager,EHG Group,"New Cairo, Cairo",8,New Cairo,Manager,Full Time,Software Engneering,2020
Senior .NET Programmer/Developer,GULFCYBERTECH,"Muscat, Oman",7,Muscat,Experienced,Full Time,Software Engneering,2020
Senior PHP Laravel Developer -Full Stack...,RMG,"15th May City, Cairo",10,15th May City,Experienced,Full Time,Software Engneering,2020
Odoo Developer,Engosoft,"Nasr City, Cairo",2,Nasr City,Experienced,Full Time,Software Engneering,2020
CET Developer,Advansys ESC,"Nasr City, Cairo",2,Nasr City,Experienced,Full Time,Software Engneering,2020
Front-end Web Developer,Art dimension,"Dokki, Giza",4,Dokki,Experienced,Full Time,Software Engneering,2020
Senior Full Stack Developer (PHP Laravel),Unknown,"Cairo, Egypt",3,Cairo,Experienced,Full Time,Software Engneering,2020
Software Sales Account Manager - Internship,AFKAR Technology,"New Cairo, Cairo",1,New Cairo,Entry Level,Internship,Software Engneering,2020
Full Stack Web Developer,VA Computing Egypt,"New Cairo, Cairo",5,New Cairo,Experienced,Full Time,Software Engneering,2020
.NET Back-End Web Developer,Unknown,"Cairo, Egypt",2,Cairo,Experienced,Full Time,Software Engneering,2020
Software Sales Specialist,Akhenaton Techology,"Maadi, Cairo",2,Maadi,Experienced,Full Time,Software Engneering,2020
Senior MEAN Developer,LINK Development,"Maadi, Cairo",3,Maadi,Experienced,Full Time,Software Engneering,2020
Odoo Developer,DGTERA,"Cairo, Egypt",2,Cairo,Experienced,Full Time,Software Engneering,2020
Assistant Java Developer R1,YELO,"Sheraton, Cairo",0,Sheraton,Entry Level,Full Time,Software Engneering,2020
Mobile App. Senior Developer,Ibn Sina Pharma,"New Cairo, Cairo",3,New Cairo,Experienced,Full Time,Software Engneering,2020
PHP Backend Developer,Objects,"Sidi Gaber, Alexandria",2,Sidi Gaber,Experienced,Full Time,Software Engneering,2020
Backend Developer - Full Time,ElMnassa Innovation & Development,"New Cairo, Cairo",1,New Cairo,Entry Level,Full Time,Software Engneering,2020
Mobile Developer,ITIDA,"6th Of October, Giza",5,6th Of October,Experienced,Full Time,Software Engneering,2020
Frontend Vue JS / PHP Web Developer,Flairstech,"Maadi, Cairo",2,Maadi,Experienced,Full Time,Software Engneering,2020
React Native Developer - Cairo,eMarketingo,"Maadi, Cairo",2,Maadi,Experienced,Full Time,Software Engneering,2020
Full Stack Wordpress Developer,Matwaffar,"Maadi, Cairo",2,Maadi,Experienced,Full Time,Software Engneering,2020
Frontend Developer,KnowledgeNet,"Nasr City, Cairo",1,Nasr City,Entry Level,Full Time,Software Engneering,2020
Senior Web Developer,Artapart,"Maadi, Cairo",3,Maadi,Experienced,Full Time,Software Engneering,2020
Odoo / ERP Functional Consultant,Archer Solutions,"New Cairo, Cairo",1,New Cairo,Entry Level,Full Time,Software Engneering,2020
Senior Frontend Developer (Angular),Paynas,"Zamalek, Cairo",3,Zamalek,Experienced,Full Time,Software Engneering,2020
Dot Net Developer,Orchtech,"Dokki, Giza",2,Dokki,Experienced,Full Time,Software Engneering,2020
Senior iOS Developer,Arabia for Information Technology,"Cairo, Egypt",3,Cairo,Experienced,Full Time,Software Engneering,2020
Senior Java Developer,SmartTech Systems,"Nasr City, Cairo",4,Nasr City,Experienced,Full Time,Software Engneering,2020
Frontend React JS Developer,apps square,"Tanta, Gharbia",1,Tanta,Entry Level,Full Time,Software Engneering,2020
Full Stack Node.js Developer,Master Linux,"Heliopolis, Cairo",2,Heliopolis,Experienced,Full Time,Software Engneering,2020
Front-End Developer Angular - Ionic,DIRAC SYSTEMS,"Heliopolis, Cairo",2,Heliopolis,Experienced,Full Time,Software Engneering,2020
Java Developer,QCENTRIS,"Cairo, Egypt",5,Cairo,Experienced,Full Time,Software Engneering,2020
Senior Java Developer,Path-Solutions,"Maadi, Cairo",4,Maadi,Experienced,Full Time,Software Engneering,2020
Sr. JavaScript Developer,Longman Egypt,"Alexandria, Egypt",5,Alexandria,Experienced,Full Time,Software Engneering,2020
Mid-Senior Backend Web Developer,Unknown,"Downtown, Cairo",3,Downtown,Experienced,Full Time,Software Engneering,2020
Senior Full-Stack Web Developer,asasalqarar,"6th Of October, Giza",4,6th Of October,Experienced,Full Time,Software Engneering,2020
Senior PHP Developer - Laravel,Trufla,"Heliopolis, Cairo",3,Heliopolis,Experienced,Full Time,Software Engneering,2020
Magento Development Consultant,Comfort Egypt,"Nasr City, Cairo",10,Nasr City,Manager,Full Time,Software Engneering,2020
Business Development Manager,Artificial Intelligence and Data Mining (AIDM),"Jeddah, Saudi Arabia",3,Jeddah,Manager,Full Time,Software Engneering,2020
Ionic Developer,As Good As New,"New Cairo, Cairo",1,New Cairo,Entry Level,Full Time,Software Engneering,2020
Flutter Developer,DEVOPSolution,"Nasr City, Cairo",1,Nasr City,Entry Level,Full Time,Software Engneering,2020
Senior React Native Developer,DEVOPSolution,"Nasr City, Cairo",3,Nasr City,Experienced,Full Time,Software Engneering,2020
Senior Android Developer,Unknown,"Cairo, Egypt",4,Cairo,Experienced,Full Time,Software Engneering,2020
Web Developer,PGLS,"Cairo, Egypt",4,Cairo,Experienced,Full Time,Software Engneering,2020
Senior Full Stack Java & React Developer.,Cegedim,"New Cairo, Cairo",6,New Cairo,Experienced,Full Time,Software Engneering,2020
Java Spring Developer R2,YELO,"Sheraton, Cairo",2,Sheraton,Experienced,Full Time,Software Engneering,2020
Back-End Developer (WordPress / PHP),proleaders,"San Stefano, Alexandria",3,San Stefano,Experienced,Full Time,Software Engneering,2020
iOS Developer - Cairo,Restart Technology,"Heliopolis, Cairo",1,Heliopolis,Entry Level,Full Time,Software Engneering,2020
Senior PHP Developer,Unknown,"Cairo, Egypt",5,Cairo,Experienced,Full Time,Software Engneering,2020
Development Technical Lead,Contactless,"Cairo, Egypt",6,Cairo,Manager,Full Time,Software Engneering,2020
Junior Full Stack Developer,Talent 360,"Cairo, Egypt",2,Cairo,Entry Level,Full Time,Software Engneering,2020
Sr. JavaScript Developer,Longman Egypt,"Alexandria, Egypt",5,Alexandria,Experienced,Full Time,Software Engneering,2020
Full Stack Developer,MidEast Communication Systems,"New Cairo, Cairo",1,New Cairo,Entry Level,Full Time,Software Engneering,2020
Full Stack Developer,illustrious,"Mansoura, Dakahlia",5,Mansoura,Experienced,Full Time,Software Engneering,2020
OBIEE BI Developer,Smartera 3S,"Cairo, Egypt",5,Cairo,Experienced,Full Time,Software Engneering,2020
Senior Oracle Adf Developer - Cairo,Linux Plus Information Systems,"Maadi, Cairo",3,Maadi,Experienced,Full Time,Software Engneering,2020
Technical Team Lead,Arqam,"Nasr City, Cairo",7,Nasr City,Manager,Full Time,Software Engneering,2020
Senior Front End Developer,Second profit,"Heliopolis, Cairo",3,Heliopolis,Experienced,Full Time,Software Engneering,2020
Junior Full Stack Developer,Talent 360,"Cairo, Egypt",2,Cairo,Entry Level,Full Time,Software Engneering,2020
Senior .Net Full Stack Developer (Angular -...,Unknown,"Cairo, Egypt",3,Cairo,Experienced,Full Time,Software Engneering,2020
UI Developer,AlQemam For Programming,"Mansoura, Dakahlia",2,Mansoura,Experienced,Full Time,Software Engneering,2020
Oracle Developer Lead,Generation C,"Sheraton, Cairo",5,Sheraton,Manager,Full Time,Software Engneering,2020
Senior Android Developer,Expert Apps,"Maadi, Cairo",5,Maadi,Experienced,Full Time,Software Engneering,2020
Senior iOS Developer,Unknown,"Nasr City, Cairo",3,Nasr City,Experienced,Full Time,Software Engneering,2020
.Net Full Stack Developer,infasme.com,"Heliopolis, Cairo",1,Heliopolis,Entry Level,Full Time,Software Engneering,2020
Mid/Junior Technical Developer - UAE,Gulf Data International,"Dubai, United Arab Emirates",5,Dubai,Experienced,Full Time,Software Engneering,2020
Full Stack Developer,Unknown,"New Cairo, Cairo",3,New Cairo,Experienced,Full Time,Software Engneering,2020
Android Developer,Puzzle,"6th Of October, Giza",3,6th Of October,Experienced,Full Time,Software Engneering,2020
Senior .Net Developer - Assiut,Informatique Education,"Assuit, Assiut",3,Assuit,Experienced,Full Time,Software Engneering,2020
Senior SharePoint Developer - KSA,SURE International Technology,"Riyadh, Saudi Arabia",4,Riyadh,Experienced,Full Time,Software Engneering,2020
Senior Android Developer,Advansys ESC,"Nasr City, Cairo",5,Nasr City,Experienced,Full Time,Software Engneering,2020
Full Stack Developer,Tawzef,"Nasr City, Cairo",4,Nasr City,Experienced,Full Time,Software Engneering,2020
Full Stack Developer,Lirten,"Maadi, Cairo",1,Maadi,Entry Level,Full Time And Part Time,Software Engneering,2020
Senior Full-Stack Developer - PHP/ Laravel/Vue.js,Unknown,"Nasr City, Cairo",5,Nasr City,Experienced,Full Time,Software Engneering,2020
React Native Mobile Developer,GCSSD,"Heliopolis, Cairo",4,Heliopolis,Experienced,Full Time,Software Engneering,2020
Senior Oracle Developer,Orchidia Pharmaceutical Industries,"Cairo, Egypt",4,Cairo,Experienced,Full Time,Software Engneering,2020
Senior Back-End Developer,Digital Experts,"Heliopolis, Cairo",2,Heliopolis,Experienced,Full Time,Software Engneering,2020
Android Developer,Zeew,"Cairo, Egypt",3,Cairo,Experienced,Full Time,Software Engneering,2020
Technical Team Lead,Arqam,"Nasr City, Cairo",7,Nasr City,Manager,Full Time,Software Engneering,2020
Python Back End Developer,Div Systems,"Mokattam, Cairo",1,Mokattam,Entry Level,Full Time,Software Engneering,2020
Remote PHP/React.js/Node.js Developer,Scopic,"Cairo, Egypt",3,Cairo,Experienced,Full Time,Software Engneering,2020
ASP.NET Full Stack Developer - Cairo,Online,"Nasr City, Cairo",2,Nasr City,Experienced,Full Time,Software Engneering,2020
Android Developer Team Lead - Alexandria,Softxpert Incorporation,"Alexandria, Egypt",4,Alexandria,Manager,Full Time,Software Engneering,2020
Mobile Developer (IOS),Nejmo,"Maadi, Cairo",3,Maadi,Experienced,Full Time,Software Engneering,2020
Senior .NET Developer - Cairo,Afaqy,"Nasr City, Cairo",4,Nasr City,Experienced,Full Time,Software Engneering,2020
Java Developer Intern,Okhtub,"Giza, Egypt",19,Giza,Entry Level,Internship,Software Engneering,2020
Senior Front End Developer,Eksab,"Downtown, Cairo",2,Downtown,Experienced,Full Time,Software Engneering,2020
Senior Front End Developer (Ionic) - Remote,Deal,"Cairo, Egypt",1,Cairo,Entry Level,Full Time,Software Engneering,2020
Senior Javascript Developer,Paymob Solutions,"Maadi, Cairo",2,Maadi,Experienced,Full Time,Software Engneering,2020
