title,company_name,exp_years,location,city,level,time,category,year
Office Manager,Mega Pharma,2,"Alexandria, Egypt",Alexandria,Experienced,Full Time,Software Engneering,2020
Senior Graphic Designer,Blink,3,"Alexandria, Egypt",Alexandria,Experienced,Full Time,Software Engneering,2020
Strategic Programs Team Manager,WUZZUF,7,"Maadi, Cairo",Maadi,Manager,Full Time,Software Engneering,2020
ERP Solution Architect,OdooTec,10,"New Cairo, Cairo",New Cairo,Experienced,Full Time,Software Engneering,2020
Graphic Designer,Unknown,2,"Cairo, Egypt",Cairo,Experienced,Full Time,Software Engneering,2020
Marketing Communications Specialist,Autsera Limited,4,"Dokki, Giza",Dokki,Experienced,Full Time,Software Engneering,2020
Senior Purchasing Specialist,Groupe- Atlantic,5,"10th Of Ramadan City, Cairo",10th Of Ramadan City,Experienced,Full Time,Software Engneering,2020
Senior Products Delivery Manager,Fawry Banking & Payment Technology Services,13,"Smart Village, Giza",Smart Village,Manager,Full Time,Software Engneering,2020
Chief Financial Officer,Unknown,10,"Sheraton, Cairo",Sheraton,Manager,Full Time,Software Engneering,2020
Safety & Security Specialist - Alexandria,UX Centers,1,"Bourj Alarab, Alexandria",Bourj Alarab,Entry Level,Full Time,Software Engneering,2020
Marketing Executive,Unicity,3,"New Cairo, Cairo",New Cairo,Experienced,Full Time,Software Engneering,2020
Human Resource Manager,Pyramid Glass Company,10,"Bourj Alarab, Alexandria",Bourj Alarab,Manager,Full Time,Software Engneering,2020
System Admin,Premier Services and Recruitment Overseas,2,"Maadi, Cairo",Maadi,Experienced,Full Time,Software Engneering,2020
Senior HR Generalist,Unknown,3,"Ameria, Alexandria",Ameria,Experienced,Full Time,Software Engneering,2020
Sales Team Leader,Assaf Group,5,"Cairo, Egypt",Cairo,Manager,Full Time,Software Engneering,2020
Customer Experience Manager,Nana,8,"Sheraton, Cairo",Sheraton,Manager,Full Time,Software Engneering,2020
Purchasing Manager,Groupe- Atlantic,8,"10th Of Ramadan City, Cairo",10th Of Ramadan City,Manager,Full Time,Software Engneering,2020
Odoo Implementer,YDS yasar digital services,1,"Sheikh Zayed, Giza",Sheikh Zayed,Entry Level,Full Time,Software Engneering,2020
Civil Sales Engineer,Titan Cement Egypt,1,"Sheraton, Cairo",Sheraton,Entry Level,Full Time,Software Engneering,2020
